"Date","Service","UsageQuantity"
"2025-07-20","AWS Data Transfer","0"
"2025-07-20","AWS Key Management Service","192.032258064"
"2025-07-20","EC2 - Other","74.5077802135"
"2025-07-20","Amazon Elastic Compute Cloud - Compute","48.2470164603"
"2025-07-20","Amazon Elastic Container Service for Kubernetes","156.1177861671"
"2025-07-20","Amazon Elastic Load Balancing","28.0396202903"
"2025-07-20","Amazon Route 53","237"
"2025-07-20","Amazon Simple Storage Service","0.0040355168"
"2025-07-20","Amazon Virtual Private Cloud","126.538611"
"2025-07-20","AmazonCloudWatch","2.0450853205"
"2025-07-21","AWS Amplify","0.0000003111"
"2025-07-21","AWS Data Transfer","0"
"2025-07-21","AWS Key Management Service","192.032258064"
"2025-07-21","EC2 - Other","74.5514449376"
"2025-07-21","Amazon Elastic Compute Cloud - Compute","48.0101710625"
"2025-07-21","Amazon Elastic Container Service for Kubernetes","156.117706214"
"2025-07-21","Amazon Elastic Load Balancing","24.0286533683"
"2025-07-21","Amazon Route 53","214"
"2025-07-21","Amazon Simple Storage Service","0.0040355168"
"2025-07-21","Amazon Virtual Private Cloud","120.421389"
"2025-07-21","AmazonCloudWatch","2.048511643"
"2025-07-22","AWS Amplify","0.0000032969"
"2025-07-22","AWS Data Transfer","0"
"2025-07-22","AWS Key Management Service","192.032258064"
"2025-07-22","EC2 - Other","74.4012652017"
"2025-07-22","Amazon Elastic Compute Cloud - Compute","48.0198501332"
"2025-07-22","Amazon Elastic Container Service for Kubernetes","156.1178417779"
"2025-07-22","Amazon Elastic Load Balancing","24.2655721717"
"2025-07-22","Amazon Route 53","294"
"2025-07-22","Amazon Simple Storage Service","0.0040355168"
"2025-07-22","Amazon Virtual Private Cloud","120.42"
"2025-07-22","AmazonCloudWatch","2.0393472189"
"2025-07-23","AWS Amplify","0.0000009332"
"2025-07-23","AWS Data Transfer","0"
"2025-07-23","AWS Key Management Service","192.032258064"
"2025-07-23","EC2 - Other","74.4230294872"
"2025-07-23","Amazon Elastic Compute Cloud - Compute","48.0090753674"
"2025-07-23","Amazon Elastic Container Service for Kubernetes","204.1176449642"
"2025-07-23","Amazon Elastic Load Balancing","24.0446995245"
"2025-07-23","Amazon Route 53","131"
"2025-07-23","Amazon Simple Storage Service","0.0040355168"
"2025-07-23","Amazon Virtual Private Cloud","120"
