Date,Service,UsageQuantity,,,,BINS,,
2025-07-04,Amazon Elastic Container Service for Kubernetes,24,,,24,,,
2025-07-04,Amazon Elastic Load Balancing,24.0239913392,,,24,,,
2025-07-04,Amazon Route 53,1237,,,1237,,,
2025-07-04,Amazon Simple Storage Service,0.0040355168,,,0,,,
2025-07-04,Amazon Virtual Private Cloud,72,,,72,,,
2025-07-04,AmazonCloudWatch,1.1801987475,,,1,,,
2025-07-05,AWS Amplify,0.00000331,,,0,,,
2025-07-05,AWS Data Transfer,0,,,0,,,
2025-07-05,AWS Key Management Service,192.032258064,,,192,,,
2025-07-05,EC2 - Other,25.4826702012,,,25,,,
2025-07-05,Amazon Elastic Compute Cloud - Compute,24.0000587476,,,24,,,
2025-07-05,Amazon Elastic Container Service for Kubernetes,24,,,24,,,
2025-07-05,Amazon Elastic Load Balancing,24.0039924037,,,24,,,
2025-07-05,Amazon Route 53,340,,,340,,,
2025-07-05,Amazon Simple Storage Service,0.0040355168,,,0,,,
2025-07-05,Amazon Virtual Private Cloud,72,,,72,,,
2025-07-05,AmazonCloudWatch,1.1803626491,,,1,,,
2025-07-06,AWS Amplify,0.0000018236,,,0,,,
2025-07-06,AWS Data Transfer,0,,,0,,,
2025-07-06,AWS Key Management Service,192.032258064,,,192,,,
2025-07-06,EC2 - Other,25.3978957811,,,25,,,
2025-07-06,Amazon Elastic Compute Cloud - Compute,24.0000545002,,,24,,,
2025-07-06,Amazon Elastic Container Service for Kubernetes,24,,,24,,,
2025-07-06,Amazon Elastic Load Balancing,24.0083391132,,,24,,,
2025-07-06,Amazon Route 53,469,,,469,,,
2025-07-06,Amazon Simple Storage Service,0.0040355168,,,0,,,
2025-07-06,Amazon Virtual Private Cloud,72,,,72,,,
2025-07-06,AmazonCloudWatch,1.1803178628,,,1,,,
2025-07-07,AWS Amplify,0.0000022259,,,0,,,
2025-07-07,AWS CloudFormation,34,,,34,,,
2025-07-07,AWS Data Transfer,0,,,0,,,
2025-07-07,AWS Key Management Service,192.032258064,,,192,,,
2025-07-07,EC2 - Other,34.3555511995,,,34,,,
2025-07-07,Amazon Elastic Compute Cloud - Compute,24.000344998,,,24,,,
2025-07-07,Amazon Elastic Container Service for Kubernetes,31.95562528,,,32,,,
2025-07-07,Amazon Elastic Load Balancing,24.0183478877,,,24,,,
2025-07-07,Amazon Route 53,726,,,726,,,
2025-07-07,Amazon Simple Storage Service,0.0040355168,,,0,,,
2025-07-07,Amazon Virtual Private Cloud,80.071111,,,80,,,
